Gender,What is your current level of study?,Which type of clothing do you prefer the most?,What do you usually  prefer  to wear for college use?,Does your college have a uniform policy?,How often you buy clothes ?,Which shopping method do you prefer?,what do you prefer in this for shopping ?,What price range do you prefer per clothing item?,What is your average spending ? (per year),Are discounts and offers important while purchasing clothes?,How confident are you while selecting clothes without assistance?,What is the main reason for regret ?,"Do you take opinions  before purchasing, if yes whose opinion?",What makes you trust a fashion brand or platform?,Which factor would make you buy a brand more frequently?,"Is there anything you would like to share about your fashion choices, shopping experience, or challenges you face while buying clothes?",average_spending,clean_feedback,cluster,feedback_sentiment
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,30732,yes,very confident,quality issues,friends,reviews,better prices,,30732.0,,1,Neutral
female,mba,casual wear,formals,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,14059,yes,very confident,quality issues,friends,reviews,better prices,,14059.0,,2,Neutral
female,mba,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,28134,yes,very confident,quality issues,friends,reviews,better prices,,28134.0,,1,Neutral
female,post-graduate,casual wear,casual wear,no,2-3 weeks,both,"better prices, try before buying",₹1001 – ₹2000,25725,yes,very confident,quality issues,friends,reviews,better prices,,25725.0,,1,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,18932,yes,very confident,quality issues,friends,quality assurance,better quality,,18932.0,,0,Neutral
female,mbbs / medical,ethnic wear,casual wear,yes,2-3 weeks,online shopping,"more variety, convenience",₹1001 – ₹2000,15926,yes,very confident,poor fit,friends,reviews,better prices,,15926.0,,2,Neutral
female,b.tech / b.e,ethnic wear,jeans & t-shirts,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,15349,yes,very confident,quality issues,friends,reviews,better prices,,15349.0,,2,Neutral
male,b.tech / b.e,casual wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,16266,no,very confident,poor fit,friends,quality assurance,better quality,,16266.0,,2,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",above ₹2000,16891,yes,very confident,price not worth it,friends,reviews,better prices,,16891.0,,2,Neutral
male,mbbs / medical,formal wear,casual wear,no,on festival,offline shopping,"better prices, try before buying",above ₹2000,23757,yes,very confident,price not worth it,friends,quality assurance,better quality,,23757.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,27124,yes,very confident,poor fit,friends,reviews,better prices,,27124.0,,1,Neutral
female,diploma,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,17837,yes,very confident,price not worth it,friends,reviews,better prices,,17837.0,,2,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,25946,yes,very confident,no regret,friends,reviews,better prices,,25946.0,,1,Neutral
male,m.tech / m.e,casual wear,formals,no,1-2 months,both,"better prices, try before buying",below ₹500,17214,yes,very confident,quality issues,friends,quality assurance,better quality,,17214.0,,2,Neutral
male,post-graduate,sports wear,casual wear,no,2-3 weeks,both,"better prices, try before buying",above ₹2000,21016,yes,very confident,poor fit,friends,quality assurance,better quality,,21016.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,22206,yes,very confident,no regret,friends,reviews,better prices,,22206.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,28161,yes,very confident,no regret,friends,reviews,better prices,,28161.0,,1,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,14340,yes,very confident,poor fit,friends,reviews,better prices,,14340.0,,2,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,26765,yes,very confident,quality issues,friends,reviews,better prices,,26765.0,,1,Neutral
male,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,19527,yes,very confident,quality issues,friends,quality assurance,better quality,,19527.0,,0,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,19693,yes,very confident,quality issues,friends,reviews,better prices,,19693.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,24026,yes,very confident,price not worth it,friends,reviews,better prices,,24026.0,,0,Neutral
male,m.tech / m.e,formal wear,jeans & t-shirts,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,20902,yes,very confident,different from images,friends,quality assurance,better quality,,20902.0,,0,Neutral
female,mba,casual wear,mixed,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,19540,yes,very confident,price not worth it,friends,reviews,better prices,,19540.0,,0,Neutral
male,b.tech / b.e,sports wear,jeans & t-shirts,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,22008,no,very confident,poor fit,friends,quality assurance,better quality,,22008.0,,0,Neutral
male,mba,sports wear,casual wear,yes,1-2 months,both,"better prices, try before buying",below ₹500,16777,sometimes,very confident,quality issues,friends,quality assurance,better quality,,16777.0,,2,Neutral
female,b.tech / b.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,20290,yes,very confident,price not worth it,friends,reviews,better prices,,20290.0,,0,Neutral
male,b.tech / b.e,casual wear,formals,no,1-2 months,both,"better prices, try before buying",above ₹2000,20676,yes,very confident,quality issues,friends,quality assurance,better quality,,20676.0,,0,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,17997,yes,very confident,no regret,friends,reviews,better prices,,17997.0,,2,Neutral
female,m.tech / m.e,ethnic wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,19345,yes,very confident,different from images,friends,reviews,better prices,,19345.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,15538,yes,very confident,quality issues,friends,reviews,better prices,,15538.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,31165,yes,very confident,price not worth it,friends,reviews,better prices,,31165.0,,1,Neutral
male,mbbs / medical,sports wear,mixed,no,on festival,both,"better prices, try before buying",₹1001 – ₹2000,24129,yes,very confident,poor fit,friends,quality assurance,better quality,,24129.0,,0,Neutral
male,diploma,formal wear,casual wear,no,on festival,both,"better prices, try before buying",₹500 – ₹1000,26612,no,very confident,quality issues,friends,quality assurance,better quality,,26612.0,,1,Neutral
female,m.tech / m.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",below ₹500,24766,yes,very confident,different from images,friends,reviews,better prices,,24766.0,,1,Neutral
male,post-graduate,casual wear,mixed,no,2-3 weeks,offline shopping,"better prices, try before buying",above ₹2000,19546,sometimes,very confident,no regret,friends,quality assurance,better quality,,19546.0,,0,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,30934,yes,very confident,price not worth it,friends,reviews,better prices,,30934.0,,1,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,31197,yes,very confident,price not worth it,friends,reviews,better prices,,31197.0,,1,Neutral
female,diploma,casual wear,jeans & t-shirts,yes,on festival,online shopping,"more variety, convenience",below ₹500,16985,yes,very confident,price not worth it,friends,reviews,better prices,,16985.0,,2,Neutral
male,m.tech / m.e,casual wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,11038,sometimes,very confident,different from images,friends,quality assurance,better quality,,11038.0,,2,Neutral
male,diploma,formal wear,jeans & t-shirts,no,on festival,offline shopping,"better prices, try before buying",₹1001 – ₹2000,18317,sometimes,very confident,quality issues,friends,quality assurance,better quality,,18317.0,,2,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,23876,yes,very confident,different from images,friends,quality assurance,better quality,,23876.0,,0,Neutral
female,diploma,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,14142,yes,very confident,different from images,friends,reviews,better prices,,14142.0,,2,Neutral
female,mba,ethnic wear,mixed,yes,1-2 months,both,"better prices, try before buying",below ₹500,16381,yes,very confident,poor fit,friends,reviews,better prices,,16381.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,23640,yes,very confident,no regret,friends,reviews,better prices,,23640.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",above ₹2000,18286,yes,very confident,price not worth it,friends,reviews,better prices,,18286.0,,2,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,17666,yes,very confident,poor fit,friends,quality assurance,better quality,,17666.0,,2,Neutral
female,mbbs / medical,casual wear,jeans & t-shirts,yes,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,16932,yes,very confident,no regret,friends,reviews,better prices,,16932.0,,2,Neutral
female,diploma,ethnic wear,casual wear,no,on festival,online shopping,"more variety, convenience",above ₹2000,26949,yes,very confident,quality issues,friends,reviews,better prices,,26949.0,,1,Neutral
male,b.tech / b.e,formal wear,jeans & t-shirts,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,24407,sometimes,very confident,different from images,friends,quality assurance,better quality,,24407.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,24861,yes,very confident,poor fit,friends,reviews,better prices,,24861.0,,1,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,20652,yes,very confident,quality issues,friends,quality assurance,better quality,,20652.0,,0,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,28189,yes,very confident,quality issues,friends,reviews,better prices,,28189.0,,1,Neutral
female,mba,casual wear,formals,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,19085,yes,very confident,different from images,friends,reviews,better prices,,19085.0,,0,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",above ₹2000,18161,yes,very confident,poor fit,friends,reviews,better prices,,18161.0,,2,Neutral
female,mba,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,31185,yes,very confident,price not worth it,friends,reviews,better prices,,31185.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,28607,yes,very confident,different from images,friends,reviews,better prices,,28607.0,,1,Neutral
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,26175,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,26175.0,,1,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,15007,yes,very confident,quality issues,friends,reviews,better prices,,15007.0,,2,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,25034,yes,very confident,price not worth it,friends,reviews,better prices,,25034.0,,1,Neutral
female,m.tech / m.e,ethnic wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,25820,yes,very confident,price not worth it,friends,reviews,better prices,,25820.0,,1,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,20075,sometimes,very confident,quality issues,friends,quality assurance,better quality,,20075.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,17171,yes,very confident,poor fit,friends,reviews,better prices,,17171.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,23489,yes,very confident,quality issues,friends,reviews,better prices,,23489.0,,0,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,18125,yes,very confident,price not worth it,friends,reviews,better prices,,18125.0,,2,Neutral
female,mba,ethnic wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,16821,yes,very confident,no regret,friends,reviews,better prices,,16821.0,,2,Neutral
male,diploma,casual wear,casual wear,no,on festival,both,"better prices, try before buying",₹1001 – ₹2000,22505,yes,very confident,no regret,friends,quality assurance,better quality,,22505.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,31803,yes,very confident,no regret,friends,reviews,better prices,,31803.0,,1,Neutral
female,mba,ethnic wear,formals,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,16354,yes,very confident,no regret,friends,reviews,better prices,,16354.0,,2,Neutral
male,b.tech / b.e,formal wear,formals,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,21347,sometimes,very confident,no regret,friends,quality assurance,better quality,,21347.0,,0,Neutral
male,mba,casual wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,20823,yes,very confident,no regret,friends,quality assurance,better quality,,20823.0,,0,Neutral
male,m.tech / m.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,27736,no,very confident,price not worth it,friends,quality assurance,better quality,,27736.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,16980,yes,very confident,poor fit,friends,reviews,better prices,,16980.0,,2,Neutral
male,m.tech / m.e,sports wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,24200,sometimes,very confident,quality issues,friends,quality assurance,better quality,,24200.0,,0,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,22169,yes,very confident,quality issues,friends,reviews,better prices,,22169.0,,0,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,26491,yes,very confident,price not worth it,friends,reviews,better prices,,26491.0,,1,Neutral
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,23295,yes,very confident,quality issues,friends,reviews,better prices,,23295.0,,0,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",below ₹500,28767,yes,very confident,price not worth it,friends,reviews,better prices,,28767.0,,1,Neutral
male,m.tech / m.e,formal wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,26990,no,very confident,no regret,friends,quality assurance,better quality,,26990.0,,1,Neutral
male,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",below ₹500,15288,yes,very confident,no regret,friends,quality assurance,better quality,,15288.0,,2,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,18381,yes,very confident,price not worth it,friends,reviews,better prices,,18381.0,,0,Neutral
male,m.tech / m.e,formal wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,23149,no,very confident,no regret,friends,quality assurance,better quality,,23149.0,,0,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,28545,yes,very confident,different from images,friends,reviews,better prices,,28545.0,,1,Neutral
female,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",above ₹2000,16536,yes,very confident,quality issues,friends,reviews,better prices,,16536.0,,2,Neutral
male,mbbs / medical,casual wear,casual wear,yes,on festival,both,"better prices, try before buying",above ₹2000,14908,yes,very confident,price not worth it,friends,quality assurance,better quality,,14908.0,,2,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",above ₹2000,15554,yes,very confident,different from images,friends,reviews,better prices,,15554.0,,2,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",above ₹2000,14418,yes,very confident,price not worth it,friends,reviews,better prices,,14418.0,,2,Neutral
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,21961,yes,very confident,price not worth it,friends,quality assurance,better quality,,21961.0,,0,Neutral
male,b.tech / b.e,formal wear,formals,no,1-2 months,both,"better prices, try before buying",below ₹500,22541,yes,very confident,no regret,friends,quality assurance,better quality,,22541.0,,0,Neutral
male,b.tech / b.e,casual wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,15366,yes,very confident,price not worth it,friends,quality assurance,better quality,,15366.0,,2,Neutral
male,post-graduate,formal wear,formals,no,2-3 weeks,both,"better prices, try before buying",₹500 – ₹1000,17882,sometimes,very confident,no regret,friends,quality assurance,better quality,,17882.0,,2,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,19672,sometimes,very confident,no regret,friends,quality assurance,better quality,,19672.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,28982,yes,very confident,no regret,friends,reviews,better prices,,28982.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,25245,yes,very confident,different from images,friends,reviews,better prices,,25245.0,,1,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,28463,yes,very confident,quality issues,friends,reviews,better prices,,28463.0,,1,Neutral
female,mbbs / medical,casual wear,formals,yes,on festival,both,"better prices, try before buying",₹500 – ₹1000,17404,yes,very confident,price not worth it,friends,reviews,better prices,,17404.0,,2,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,19704,yes,very confident,different from images,friends,reviews,better prices,,19704.0,,0,Neutral
male,diploma,formal wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",above ₹2000,14586,sometimes,very confident,quality issues,friends,quality assurance,better quality,,14586.0,,2,Neutral
male,post-graduate,formal wear,casual wear,yes,2-3 weeks,offline shopping,"better prices, try before buying",₹500 – ₹1000,11089,no,very confident,poor fit,friends,quality assurance,better quality,,11089.0,,2,Neutral
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,24234,yes,very confident,no regret,friends,reviews,better prices,,24234.0,,0,Neutral
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,14858,yes,very confident,poor fit,friends,reviews,better prices,,14858.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",below ₹500,31095,yes,very confident,price not worth it,friends,reviews,better prices,,31095.0,,1,Neutral
female,diploma,casual wear,jeans & t-shirts,no,on festival,online shopping,"more variety, convenience",₹1001 – ₹2000,21248,yes,very confident,price not worth it,friends,reviews,better prices,,21248.0,,0,Neutral
male,mbbs / medical,formal wear,casual wear,yes,on festival,offline shopping,"better prices, try before buying",₹500 – ₹1000,13326,yes,very confident,different from images,friends,quality assurance,better quality,,13326.0,,2,Neutral
female,m.tech / m.e,casual wear,mixed,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,22713,yes,very confident,different from images,friends,reviews,better prices,,22713.0,,0,Neutral
female,post-graduate,casual wear,casual wear,yes,2-3 weeks,both,"better prices, try before buying",below ₹500,19080,yes,very confident,different from images,friends,reviews,better prices,,19080.0,,0,Neutral
male,m.tech / m.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",above ₹2000,20702,yes,very confident,price not worth it,friends,quality assurance,better quality,,20702.0,,0,Neutral
male,diploma,casual wear,jeans & t-shirts,yes,on festival,offline shopping,"better prices, try before buying",above ₹2000,16951,no,very confident,poor fit,friends,quality assurance,better quality,,16951.0,,2,Neutral
male,mba,formal wear,formals,no,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,17463,no,very confident,price not worth it,friends,quality assurance,better quality,,17463.0,,2,Neutral
female,post-graduate,ethnic wear,mixed,no,2-3 weeks,both,"better prices, try before buying",₹1001 – ₹2000,21539,yes,very confident,price not worth it,friends,reviews,better prices,,21539.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,15347,yes,very confident,no regret,friends,reviews,better prices,,15347.0,,2,Neutral
female,mba,ethnic wear,casual wear,yes,1-2 months,both,"better prices, try before buying",above ₹2000,18866,yes,very confident,quality issues,friends,reviews,better prices,,18866.0,,0,Neutral
male,b.tech / b.e,sports wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,27542,no,very confident,price not worth it,friends,quality assurance,better quality,,27542.0,,1,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,14428,yes,very confident,no regret,friends,reviews,better prices,,14428.0,,2,Neutral
female,m.tech / m.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,20389,yes,very confident,no regret,friends,reviews,better prices,,20389.0,,0,Neutral
male,post-graduate,casual wear,mixed,no,2-3 weeks,offline shopping,"better prices, try before buying",below ₹500,25934,no,very confident,different from images,friends,quality assurance,better quality,,25934.0,,1,Neutral
female,m.tech / m.e,casual wear,jeans & t-shirts,no,1-2 months,both,"better prices, try before buying",below ₹500,21600,yes,very confident,no regret,friends,reviews,better prices,,21600.0,,0,Neutral
male,b.tech / b.e,casual wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,18595,no,very confident,price not worth it,friends,quality assurance,better quality,,18595.0,,0,Neutral
female,b.tech / b.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,20268,yes,very confident,no regret,friends,reviews,better prices,,20268.0,,0,Neutral
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,17597,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,17597.0,,2,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,23164,yes,very confident,different from images,friends,reviews,better prices,,23164.0,,0,Neutral
female,diploma,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,14390,yes,very confident,quality issues,friends,reviews,better prices,,14390.0,,2,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,16213,yes,very confident,different from images,friends,reviews,better prices,,16213.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,29993,yes,very confident,quality issues,friends,reviews,better prices,,29993.0,,1,Neutral
female,mba,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",above ₹2000,23915,yes,very confident,price not worth it,friends,reviews,better prices,,23915.0,,0,Neutral
male,m.tech / m.e,sports wear,mixed,yes,1-2 months,both,"better prices, try before buying",above ₹2000,15367,yes,very confident,different from images,friends,quality assurance,better quality,,15367.0,,2,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,21126,yes,very confident,different from images,friends,reviews,better prices,,21126.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,27912,yes,very confident,poor fit,friends,reviews,better prices,,27912.0,,1,Neutral
male,b.tech / b.e,formal wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,12900,no,very confident,no regret,friends,quality assurance,better quality,,12900.0,,2,Neutral
female,diploma,casual wear,casual wear,no,on festival,both,"better prices, try before buying",₹500 – ₹1000,28997,yes,very confident,different from images,friends,reviews,better prices,,28997.0,,1,Neutral
female,b.tech / b.e,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,14817,yes,very confident,poor fit,friends,reviews,better prices,,14817.0,,2,Neutral
male,m.tech / m.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",below ₹500,27774,sometimes,very confident,different from images,friends,quality assurance,better quality,,27774.0,,1,Neutral
female,diploma,ethnic wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",below ₹500,15455,yes,very confident,different from images,friends,reviews,better prices,,15455.0,,2,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,24237,yes,very confident,price not worth it,friends,reviews,better prices,,24237.0,,0,Neutral
male,b.tech / b.e,sports wear,mixed,yes,1-2 months,offline shopping,"better prices, try before buying",₹500 – ₹1000,16701,no,very confident,quality issues,friends,quality assurance,better quality,,16701.0,,2,Neutral
male,b.tech / b.e,casual wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",below ₹500,23941,no,very confident,quality issues,friends,quality assurance,better quality,,23941.0,,0,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,24389,yes,very confident,quality issues,friends,reviews,better prices,,24389.0,,0,Neutral
male,m.tech / m.e,casual wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",below ₹500,16697,no,very confident,poor fit,friends,quality assurance,better quality,,16697.0,,2,Neutral
female,post-graduate,casual wear,formals,no,2-3 weeks,both,"better prices, try before buying",₹1001 – ₹2000,23948,yes,very confident,quality issues,friends,reviews,better prices,,23948.0,,0,Neutral
female,mbbs / medical,casual wear,mixed,yes,on festival,both,"better prices, try before buying",above ₹2000,14569,yes,very confident,different from images,friends,reviews,better prices,,14569.0,,2,Neutral
female,m.tech / m.e,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,19981,yes,very confident,no regret,friends,reviews,better prices,,19981.0,,0,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,23214,yes,very confident,different from images,friends,reviews,better prices,,23214.0,,0,Neutral
female,mba,casual wear,formals,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,19107,yes,very confident,quality issues,friends,reviews,better prices,,19107.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,yes,2-3 weeks,online shopping,"more variety, convenience",₹500 – ₹1000,14993,yes,very confident,different from images,friends,reviews,better prices,,14993.0,,2,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,25776,no,very confident,poor fit,friends,quality assurance,better quality,,25776.0,,1,Neutral
female,mbbs / medical,ethnic wear,casual wear,yes,on festival,both,"better prices, try before buying",below ₹500,17146,yes,very confident,quality issues,friends,reviews,better prices,,17146.0,,2,Neutral
female,m.tech / m.e,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,19885,yes,very confident,no regret,friends,reviews,better prices,,19885.0,,0,Neutral
female,mba,casual wear,casual wear,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,17316,yes,very confident,price not worth it,friends,reviews,better prices,,17316.0,,2,Neutral
female,mba,casual wear,formals,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,14150,yes,very confident,quality issues,friends,reviews,better prices,,14150.0,,2,Neutral
female,diploma,casual wear,jeans & t-shirts,no,on festival,both,"better prices, try before buying",₹1001 – ₹2000,27246,yes,very confident,no regret,friends,reviews,better prices,,27246.0,,1,Neutral
